duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fHeaderBytes,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bVarianceDataBytes,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,sflow_fpacket,sflow_fbytes,sflow_bpacket,sflow_bbytes,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,FFNEPD,Init_Win_bytes_forward,Init_Win_bytes_backward,RRT_samples_clnt,Act_data_pkt_forward,min_seg_size_forward,calss
230165,3,4,427,417,52,52,315,253,142.33333,104.25,149.58554,99.23667,118125,118993,4,13,118121,118247,59062.5,39664.332,83521.33,68055.54,1,1,0,0,60,80,13.034127,17.378838,30.412964,3666.9346,52,315,120.57143,113.12435,4,111294,38360.832,56506.766,1,2,0,2,6,0,0,0,0.9765808,120.57143,142.33333,60,0,0,0,9847.917,104,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,926720,3,3,32,benign
73144,3,3,268,164,52,52,156,60,89.333336,54.666668,57.869106,4.5643544,38373,39115,1875,14,36498,39101,19186.5,19557.5,24482.158,27638.684,1,0,0,0,60,60,41.014984,41.014984,82.02997,5906.1577,52,156,72.0,41.335217,14,34757,14628.8,18066.715,1,2,0,1,5,0,0,0,0.6119403,72.0,89.333336,60,0,0,0,20.833334,54,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,1718208,2,3,32,benign
60557731,4,4,621,327,40,40,481,195,155.25,81.75,217.37045,75.70942,598995,60293556,1375,2454,309500,60001226,199665.0,20100000.0,172056.6,34600000.0,1,1,0,0,80,80,0.066052675,0.066052675,0.13210535,15.654484,40,481,118.5,155.72458,1375,59958736,8651104.0,22600000.0,1,2,0,2,7,0,0,0,0.52657,118.5,155.25,80,0,0,0,5731.9165,81,0,0,0,4,621,4,327,60557731,60600000.0,60557731,0.0,59958736,60000000.0,59958736,0.0,2,4194240,4111360,3,4,20,benign
59741430,11,8,592,436,52,52,64,64,53.81818,54.5,3.5019474,3.946065,59317144,51432064,11744,10636,10478753,10684506,5931714.5,7347437.5,4719615.0,4693637.0,4,4,0,0,220,160,0.18412682,0.13391042,0.31803724,17.207489,52,64,54.105263,3.6116283,6180,10260220,3318968.2,4529179.5,0,0,0,8,19,0,0,0,0.7364865,54.105263,53.81818,220,0,0,0,15.571428,54,0,0,0,1,98,1,72,8309366,9956905.0,11689516,1318332.9,8090511,9501494.0,10260220,904602.94,2,87616,7296,7,11,32,asware
0,1,0,408,0,408,-1,408,-1,408.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,408,408,408.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,408.0,408.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
419001,12,12,2668,6235,52,52,1390,1064,222.33333,519.5833,396.38544,486.8143,330123,332931,2,60,103622,133661,30011.182,30266.455,44927.652,49831.84,3,3,0,0,240,240,28.63955,28.63955,57.2791,21248.16,52,1390,370.95834,459.93155,2,97732,18217.436,33850.117,1,2,0,6,23,0,0,0,2.3369565,370.95834,222.33333,240,490,7,16065,236988.17,519,5531,7,453063,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,926720,10,12,32,benign
0,1,0,422,0,422,-1,422,-1,422.0,0.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,422,422,422.0,0.0,-1,-1,0.0,0.0,0,0,0,0,0,0,0,0,0.0,422.0,422.0,20,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,-1,0,1,0,benign
964,1,1,52,52,52,52,52,52,52.0,52.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,1037.3444,1037.3444,2074.6887,107883.82,52,52,52.0,1.0,964,964,964.0,0.0,1,0,0,0,2,0,0,0,1.0,52.0,52.0,20,0,0,0,0.0,52,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,89792,43392,1,1,32,benign
112785,1,1,57,290,57,290,57,290,57.0,290.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,8.866427,8.866427,17.732855,3076.6501,57,290,173.5,164.75284,112785,112785,112785.0,0.0,0,0,0,0,0,0,0,0,5.0877194,173.5,57.0,20,0,0,0,0.0,290,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,asware
35749,2,2,111,111,52,52,59,59,55.5,55.5,4.84768,4.84768,35749,240,35749,240,35749,240,35749.0,240.0,0.0,0.0,1,1,0,0,40,40,55.94562,55.94562,111.89124,6209.964,52,59,55.5,4.0,240,32444,11916.333,17833.508,0,0,0,2,4,0,0,0,1.0,55.5,55.5,40,0,0,0,23.5,55,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,87616,64,1,2,32,benign
